MED_NAME,YearsPrescription,N,Y,N_out,Y_out,P,OR,CI1,CI2,MED_GROUP,freqY,freqN
brivaracetam,"(0,2]",0,0,554,1451,1,NA,0,Inf,SV2A,0,0
brivaracetam,"(2,12]",6,0,548,1451,4.3634138486849393e-4,NA,0,0.3222705679586254,SV2A,0,0.010830324909747292
brivaracetam,"(12,18]",6,17,548,1434,1,NA,0.4046782355783538,3.371666200116708,SV2A,0.01171605789110958,0.010830324909747292
brivaracetam,"(18,Inf]",1,1,553,1450,0.4763714466329186,NA,0.004863218618607188,29.990808097324365,SV2A,6.891798759476223e-4,0.0018050541516245488
cannabidiol,"(0,2]",0,25,554,1426,4.3537212699032424e-4,NA,2.431811764367285,Inf,Mixed/unknown,0.01722949689869056,0
cannabidiol,"(2,12]",42,293,512,1158,7.370336548508792e-13,3.0829931011902634,2.1844606773356374,4.441570362087158,Mixed/unknown,0.20192970365265334,0.07581227436823104
cannabidiol,"(12,18]",3,27,551,1424,0.0371467854858248,NA,1.0645719757311103,17.998570155318266,Mixed/unknown,0.018607856650585803,0.005415162454873646
cannabidiol,"(18,Inf]",0,40,554,1411,2.7791806972503433e-6,NA,4.043689066161042,Inf,Mixed/unknown,0.027567195037904894,0
carbamazepine,"(0,2]",0,0,554,1451,1,NA,0,Inf,Na,0,0
carbamazepine,"(2,12]",6,9,548,1442,0.38271664674614203,NA,0.18026433911995102,1.9564148735681748,Na,0.006202618883528601,0.010830324909747292
carbamazepine,"(12,18]",0,0,554,1451,1,NA,0,Inf,Na,0,0
carbamazepine,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,Na,0,0
cenobamate,"(0,2]",0,0,554,1451,1,NA,0,Inf,Mixed/unknown,0,0
cenobamate,"(2,12]",0,0,554,1451,1,NA,0,Inf,Mixed/unknown,0,0
cenobamate,"(12,18]",0,2,554,1449,1,NA,0.07166926401445171,Inf,Mixed/unknown,0.0013783597518952446,0
cenobamate,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,Mixed/unknown,0,0
clobazam,"(0,2]",0,11,554,1440,0.0415366722272885,NA,0.9614896802596239,Inf,GABA,0.007580978635423846,0
clobazam,"(2,12]",0,22,554,1429,0.0011975891184400215,NA,2.11369420498806,Inf,GABA,0.015161957270847692,0
clobazam,"(12,18]",1,9,553,1442,0.30126104181517893,NA,0.4761362436096482,151.4632274056777,GABA,0.006202618883528601,0.0018050541516245488
clobazam,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
clonazepam,"(0,2]",25,22,529,1429,1.9671959473503093e-4,0.32598508138305005,0.17359561950665228,0.6081364873566372,GABA,0.015161957270847692,0.04512635379061372
clonazepam,"(2,12]",33,59,521,1392,0.07407585509282444,NA,0.4243452523905322,1.0713299360447202,GABA,0.04066161268090972,0.05956678700361011
clonazepam,"(12,18]",10,0,544,1451,2.4447618261632335e-6,NA,0,0.16815212249802733,GABA,0,0.018050541516245487
clonazepam,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
diazepam,"(0,2]",5,20,549,1431,0.5024410674631915,NA,0.5551623341715554,5.257535353519592,GABA,0.013783597518952447,0.009025270758122744
diazepam,"(2,12]",53,106,501,1345,0.09673379586437568,NA,0.5218674761983413,1.0740175391982114,GABA,0.07305306685044796,0.09566787003610108
diazepam,"(12,18]",1,8,553,1443,0.45866554406964166,NA,0.40930598855241407,136.21108049406828,GABA,0.0055134390075809786,0.0018050541516245488
diazepam,"(18,Inf]",1,0,553,1451,0.27630922693266824,NA,0,14.890448456554335,GABA,0,0.0018050541516245488
felbamate,"(0,2]",1,1,553,1450,0.4763714466329186,NA,0.004863218618607188,29.990808097324365,Mixed/unknown,6.891798759476223e-4,0.0018050541516245488
felbamate,"(2,12]",30,31,524,1420,3.682716502890378e-4,0.3815272049095917,0.22099101324226958,0.6595001135709458,Mixed/unknown,0.021364576154376293,0.05415162454873646
felbamate,"(12,18]",47,0,507,1451,1.2864264953481225e-27,NA,0,0.028691461289012444,Mixed/unknown,0,0.08483754512635379
felbamate,"(18,Inf]",48,0,506,1451,3.3310430701813286e-28,NA,0,0.028035299630078617,Mixed/unknown,0,0.08664259927797834
fenfluramine,"(0,2]",0,13,554,1438,0.025316241814615625,NA,1.169013449315069,Inf,5-HT,0.00895933838731909,0
fenfluramine,"(2,12]",0,2,554,1449,1,NA,0.07166926401445171,Inf,5-HT,0.0013783597518952446,0
fenfluramine,"(12,18]",0,0,554,1451,1,NA,0,Inf,5-HT,0,0
fenfluramine,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,5-HT,0,0
gabapentin,"(0,2]",72,110,482,1341,2.485871686784926e-4,0.5492848337162749,0.3967301454194632,0.7640572273370876,Ca,0.07580978635423846,0.1299638989169675
gabapentin,"(2,12]",59,338,495,1113,3.3998442019176306e-11,2.5467969243582136,1.8848211536240516,3.4868269059062045,Ca,0.23294279807029636,0.10649819494584838
gabapentin,"(12,18]",3,42,551,1409,6.112842338590304e-4,NA,1.7372698305349754,27.687149371627356,Ca,0.028945554789800137,0.005415162454873646
gabapentin,"(18,Inf]",14,60,540,1391,0.11095239047472316,NA,0.9092509879780708,3.2512526975266667,Ca,0.04135079255685734,0.02527075812274368
lacosamide,"(0,2]",4,108,550,1343,1.391434981854202e-11,NA,4.161774447460842,41.49493557792763,Na,0.07443142660234321,0.007220216606498195
lacosamide,"(2,12]",113,524,441,927,5.212361629721534e-12,2.2052225489771464,1.7397259877695372,2.8103235114864944,Na,0.3611302549965541,0.20397111913357402
lacosamide,"(12,18]",115,25,439,1426,1.926329701015454e-44,0.06703963650621594,0.04110412896455705,0.10559324542590622,Na,0.01722949689869056,0.2075812274368231
lacosamide,"(18,Inf]",52,74,502,1377,6.420193215868903e-4,0.5189654563835041,0.3535073058012585,0.7664069208219215,Na,0.05099931082012405,0.09386281588447654
lamotrigine,"(0,2]",29,32,525,1419,7.415008797203227e-4,0.4084615323247377,0.23675627206573113,0.7073552884352013,Na,0.022053756030323914,0.052346570397111915
