term,N,Y,description,Y_out,N_out,pvalue,odds,freq1,freq2,color_sig,size_sel
HP:0000001,10358,11598,All,0,0,1,0,1,1,>,-0
HP:0000002,89,23,Abnormality of body height,11575,10269,3.1133923655184998e-9,0.22931174026163517,0.0019831005345749267,0.008592392353736242,<,46.192635316121084
HP:0000009,150,153,Functional abnormality of the bladder,11445,10208,1,0.9097605674213769,0.013191929643041904,0.014481560146746475,>,1.5158775492791359
HP:0000011,10,0,Neurogenic bladder,11598,10348,0.5992698295486204,0,0,9.654373431164317e-4,<,13.05508108648223
HP:0000012,3,3,Urinary urgency,11595,10355,1,0.8930625850974904,2.586652871184687e-4,2.8963120293492954e-4,>,-0
HP:0000014,150,156,Abnormality of the bladder,11442,10208,1,0.9278566459126715,0.013450594930160372,0.014481560146746475,>,1.115136752567711
HP:0000016,10,36,Urinary retention,11562,10348,0.5848926849129795,3.2216720496743894,0.0031039834454216243,9.654373431164317e-4,<,13.097265981435681
HP:0000020,14,54,Urinary incontinence,11544,10344,0.008271222882798794,3.455851874132102,0.0046559751681324365,0.0013516122803630044,<,20.49529184535416
HP:0000028,27,145,Cryptorchidism,11453,10331,4.323605568639472e-15,4.8438632161689625,0.012502155544059321,0.002606680826414366,<,69.62218647053162
HP:0000029,0,1,Testicular atrophy,11597,10358,1,Inf,8.62217623728229e-5,0,>,-0
HP:0000032,40,394,Abnormality of male external genitalia,11204,10318,4.424645658987018e-64,9.070148983935734,0.03397137437489222,0.003861749372465727,<,265.5820567541775
HP:0000034,0,2,Hydrocele testis,11596,10358,1,Inf,1.724435247456458e-4,0,>,1.198666511988831
HP:0000035,35,156,Abnormal testis morphology,11442,10323,8.912070930265676e-14,4.020871711665269,0.013450594930160372,0.003379030700907511,<,64.36565620323691
HP:0000036,5,225,Abnormal penis morphology,11373,10353,2.6501004989405367e-52,40.96104960799961,0.01939989653388515,4.8271867155821587e-4,<,218.4725213651759
HP:0000047,0,216,Hypospadias,11382,10358,6.56297813415026e-58,Inf,0.018623900672529746,0,<,240.89716691134478
HP:0000050,5,7,Hypoplastic male external genitalia,11591,10353,1,1.2504559873560013,6.035523366097603e-4,4.8271867155821587e-4,>,0.4346567268525421
HP:0000054,2,7,Micropenis,11591,10356,1,3.1267589361494856,6.035523366097603e-4,1.9308746862328635e-4,>,2.923177132577216
HP:0000055,1,0,Abnormality of female external genitalia,11598,10357,1,0,0,9.654373431164318e-5,>,1.3051092617108087
HP:0000069,35,3,Abnormality of the ureter,11595,10323,6.565607320212939e-6,0.07634370030001317,2.586652871184687e-4,0.003379030700907511,<,32.89647112213388
HP:0000072,29,0,Hydroureter,11598,10329,3.718315305991691e-7,0,0,0.002799768295037652,<,37.88418588329369
HP:0000073,0,2,Ureteral duplication,11596,10358,1,Inf,1.724435247456458e-4,0,>,1.198666511988831
HP:0000076,6,1,Vesicoureteral reflux,11597,10352,1,0.14878944490844906,8.62217623728229e-5,5.792624058698591e-4,>,4.964214927701729
HP:0000077,134,213,Abnormality of the kidney,11385,10224,1,1.4274285721810143,0.018365235385411276,0.012936860397760186,>,11.46973576219921
HP:0000078,55,405,Abnormality of the genital system,11193,10303,6.786845432607681e-57,6.777597334596715,0.034919813760993276,0.005309905387140375,<,236.83889890687277
HP:0000079,331,661,Abnormality of the urinary system,10937,10027,2.405889007316791e-16,1.8307643810511436,0.05699258492843594,0.03195597605715389,<,74.64046838930211
HP:0000080,14,11,Abnormality of reproductive system physiology,11587,10344,1,0.7014429165292816,9.484393861010519e-4,0.0013516122803630044,>,1.4822860536266746
HP:0000083,20,101,Renal insufficiency,11497,10338,1.6849749590751116e-9,4.540537195104593,0.008708397999655114,0.0019308746862328635,<,47.25919693634071
HP:0000086,0,25,Ectopic kidney,11573,10358,1.3543693629988678e-4,Inf,0.0021555440593205724,0,<,27.6386222562454
HP:0000091,14,22,Abnormal renal tubule morphology,11576,10344,1,1.4041610385273933,0.0018968787722021038,0.0013516122803630044,>,1.5748407374913351
