bin,term,N,Y,description,Y_out,N_out,pvalue,odds,freq1,freq2,color_sig,size_sel
1,HP:0000001,6056,15066,All,0,0,1,0,1,1,>,-0
1,HP:0000002,17,7,Abnormality of body height,15059,6039,0.019299257106312705,0.16516096707282166,4.6462232842161156e-4,0.0028071334214002644,<,18.579596011603293
1,HP:0000009,26,13,Functional abnormality of the bladder,15053,6030,8.061993272709371e-4,0.20030900148752262,8.628700384972787e-4,0.0042932628797886395,<,24.095988653377642
1,HP:0000014,26,16,Abnormality of the bladder,15050,6030,0.006925418632151765,0.24658235472547232,0.0010619938935351122,0.0042932628797886395,<,20.35997425490019
1,HP:0000016,19,8,Urinary retention,15058,6037,0.007279299725445889,0.16884321916795939,5.309969467675561e-4,0.0031373844121532365,<,20.273399971706276
1,HP:0000028,4,182,Cryptorchidism,14884,6052,6.309411388889632e-19,18.499686772964875,0.0120801805389619,6.605019815059445e-4,<,84.52180299754565
1,HP:0000032,75,457,Abnormality of male external genitalia,14609,5981,1.044083853402139e-12,2.4945533261564745,0.03033320058409664,0.01238441215323646,<,59.64681686100176
1,HP:0000034,56,6,Hydrocele testis,15060,6000,2.5242070572249953e-21,0.04269075153310385,3.9824771007566706e-4,0.009247027741083224,<,94.11325847262312
1,HP:0000035,75,192,Abnormal testis morphology,14874,5981,1,1.0294236826500518,0.012743926722421346,0.01238441215323646,>,0.1991297262676571
1,HP:0000036,0,148,Abnormal penis morphology,14918,6056,2.1225212606190104e-19,Inf,0.009823443515199787,0,<,86.41435018255804
1,HP:0000047,0,142,Hypospadias,14924,6056,1.557995572822529e-18,Inf,0.009425195805124121,0,<,82.95149350205304
1,HP:0000050,0,6,Hypoplastic male external genitalia,15060,6056,1,Inf,3.9824771007566706e-4,0,>,2.8663093611466177
1,HP:0000054,0,6,Micropenis,15060,6056,1,Inf,3.9824771007566706e-4,0,>,2.8663093611466177
1,HP:0000069,4,6,Abnormality of the ureter,15060,6052,1,0.6028048091526728,3.9824771007566706e-4,6.605019815059445e-4,>,1.2521912395907029
1,HP:0000072,1,0,Hydroureter,15066,6055,1,0,0,1.6512549537648613e-4,>,2.170196687176009
1,HP:0000073,0,4,Ureteral duplication,15062,6056,1,Inf,2.6549847338377806e-4,0,>,0.935041767332054
1,HP:0000076,3,2,Vesicoureteral reflux,15064,6053,1,0.2678784470636248,1.3274923669188903e-4,4.953764861294584e-4,>,3.343426327673367
1,HP:0000077,51,1407,Abnormality of the kidney,13659,6005,5.247929861776112e-144,12.128244546005053,0.09338908801274393,0.008421400264200792,<,584.8418062907054
1,HP:0000078,75,457,Abnormality of the genital system,14609,5981,1.044083853402139e-12,2.4945533261564745,0.03033320058409664,0.01238441215323646,<,59.64681686100176
1,HP:0000079,98,1703,Abnormality of the urinary system,13363,5958,4.870121298233458e-146,7.748002138353001,0.1130359750431435,0.01618229854689564,<,592.9715992664486
1,HP:0000083,16,1307,Renal insufficiency,13759,6040,2.0814478286941294e-168,35.8571554384078,0.08675162617814948,0.002642007926023778,<,682.4482962598412
1,HP:0000086,0,3,Ectopic kidney,15063,6056,1,Inf,1.9912385503783353e-4,0,>,0.999985214678497
1,HP:0000091,3,29,Abnormal renal tubule morphology,15037,6053,1,3.891290065365159,0.001924863932032391,4.953764861294584e-4,<,7.07224796448876
1,HP:0000093,9,14,Proteinuria,15052,6047,1,0.6249451708664044,9.292446568432231e-4,0.001486129458388375,>,2.3567204364616825
1,HP:0000103,1,2,Polyuria,15064,6055,1,0.803884393888363,1.3274923669188903e-4,1.6512549537648613e-4,>,-0
1,HP:0000104,0,10,Renal agenesis,15056,6056,1,Inf,6.637461834594451e-4,0,>,4.563408375824889
1,HP:0000107,0,26,Renal cyst,15040,6056,0.22302067113176333,Inf,0.0017257400769945573,0,<,14.328377905485743
1,HP:0000110,0,1,Renal dysplasia,15065,6056,1,Inf,6.637461834594451e-5,0,>,-0
1,HP:0000113,0,26,Polycystic kidney dysplasia,15040,6056,0.22302067113176333,Inf,0.0017257400769945573,0,<,14.328377905485743
1,HP:0000118,6056,15066,Phenotypic abnormality,0,0,1,0,1,1,>,-0
1,HP:0000119,173,1901,Abnormality of the genitourinary system,13165,5883,5.197987235292902e-123,4.909714301816626,0.12617814947564052,0.0285667107001321,<,500.8584175443927
1,HP:0000122,0,10,Unilateral renal agenesis,15056,6056,1,Inf,6.637461834594451e-4,0,>,4.563408375824889
1,HP:0000123,0,2,Nephritis,15064,6056,1,Inf,1.3274923669188903e-4,0,>,-0
1,HP:0000126,29,23,Hydronephrosis,15043,6027,0.037258378603428934,0.31775202221715637,0.0015266162219567238,0.004788639365918098,<,17.436862573058363
1,HP:0000152,458,787,Abnormality of head or neck,14279,5598,1.5056726263787462e-7,0.6736791667214836,0.05223682463825833,0.07562747688243064,<,39.010836159636256
